epoch,reward,complexity,length,is_physical,is_elite,program,program_prefix,a,g
0,0.0,23.0,23,False,False,((log((g/(((w)**(2))/(-(a)*(((sigma8)**(-1))*(-((w*((Om*1.0)-Om)))-w)))))))**(0.5)),"[sqrt log div g div n2 w mul neg a mul inv sigma8 sub neg mul w sub mul Om
 1.0 Om w]",1.0,1.0
0,0.1747254660830252,13.0,13,True,False,-(((((((((Om)**(-1)))**(2))/(((1.0--(Om)))**(-1))))**(-1))-1.0)),[neg sub inv div n2 inv Om inv sub 1.0 neg Om 1.0],1.0,1.0
0,0.06996982430270422,8.0,8,True,False,((exp(((((-(((log(sigma8))**(0.5))))**(0.5)))**(-1))))**(2)),[n2 exp inv sqrt neg sqrt log sigma8],1.0,1.0
0,0.018036586603854016,15.0,15,True,False,((((log(((((Om/((((sigma8*sigma8))**(-1))-exp(sigma8))))**(2))+Om)))**(2)))**(2)),[n2 n2 log add n2 div Om sub inv mul sigma8 sigma8 exp sigma8 Om],1.0,1.0
0,0.0,27.0,27,False,False,(a*((((-(((((((((exp(1.0)*-((((-(((-(a))**(-1)))-1.0))**(0.5))))-w)+1.0)+sigma8))**(2)))**(2)))+a)-g))**(2))),"[mul a n2 sub add neg n2 n2 add add sub mul exp 1.0 neg sqrt sub neg inv
 neg a 1.0 w 1.0 sigma8 a g]",1.0,1.0
0,0.0,29.0,29,False,False,(((g*((((1.0/((((a*-((((((((-((a/a)))**(-1))+1.0)+w))**(-1))-g)))-a))**(0.5)))+g)+1.0)+a)))**(2)),"[n2 mul g add add add div 1.0 sqrt sub mul a neg sub inv add add inv neg
 div a a 1.0 w g a g 1.0 a]",1.0,1.0
0,0.168338200584821,13.0,13,True,False,(((log(-(((Om-((sigma8)**(2)))+((((Om)**(2)))**(2)))))-w))**(2)),[n2 sub log neg add sub Om n2 sigma8 n2 n2 Om w],1.0,1.0
0,0.0,24.0,24,False,False,log((-(1.0)-(((((((((1.0)**(-1))/sigma8)/a)*1.0)/-(((((((Om)**(2)))**(2))-w)-w)))-w))**(-1)))),"[log sub neg 1.0 inv sub div mul div div inv 1.0 sigma8 a 1.0 neg sub sub
 n2 n2 Om w w w]",1.0,1.0
0,0.19121660110598507,10.0,10,True,False,((sigma8-1.0)/(log(Om)-(w/Om))),[div sub sigma8 1.0 sub log Om div w Om],1.0,1.0
0,0.18111917302764444,12.0,12,True,False,((log(-((((((1.0)**(2))/1.0)*((w)**(2)))*sigma8))))**(0.5)),[sqrt log neg mul mul div n2 1.0 1.0 n2 w sigma8],1.0,1.0
0,0.08837558226918114,15.0,15,True,False,((((-((-((((((1.0*log(1.0)))**(0.5))/1.0)/Om))+Om)))**(2)))**(-1)),[inv n2 neg add neg div div sqrt mul 1.0 log 1.0 1.0 Om Om],1.0,1.0
0,0.0,27.0,27,False,False,(exp((((((g+(g*sigma8))-(((a*-(((((-(((sigma8/1.0)+g)))**(2)))**(2)))))**(-1)))*w)/Om)+Om))+sigma8),"[add exp add div mul sub add g mul g sigma8 inv mul a neg n2 n2 neg add
 div sigma8 1.0 g w Om Om sigma8]",1.0,1.0
0,0.16301656135581868,11.0,11,True,False,(((((-((log(1.0)-(w+sigma8))))**(-1)))**(0.5))-sigma8),[sub sqrt inv neg sub log 1.0 add w sigma8 sigma8],1.0,1.0
0,0.18876616248866185,15.0,15,True,False,(((exp(1.0))**(-1))-((-(((((-((w+1.0))*1.0))**(0.5))+Om)))**(2))),[sub inv exp 1.0 n2 neg add sqrt mul neg add w 1.0 1.0 Om],1.0,1.0
0,0.0,25.0,25,False,False,(Om/((exp(((((w*a))**(0.5))/(((1.0/(w/(((((((a/(w-sigma8)))**(2)))**(2)))**(-1)))))**(-1))))-sigma8)+1.0)),"[div Om add sub exp div sqrt mul w a inv div 1.0 div w inv n2 n2 div a sub
 w sigma8 sigma8 1.0]",1.0,1.0
0,0.16724325330997267,12.0,12,True,False,((((sigma8+(Om-(((((Om)**(2))+w))**(-1))))/1.0))**(0.5)),[sqrt div add sigma8 sub Om inv add n2 Om w 1.0],1.0,1.0
0,0.20900617667905677,14.0,14,True,False,-((((1.0/log((((((w)**(2))-((sigma8+Om)*1.0)))**(0.5)))))**(0.5))),[neg sqrt div 1.0 log sqrt sub n2 w mul add sigma8 Om 1.0],1.0,1.0
0,0.19775506894544115,15.0,15,True,False,-((w*((log(-((sigma8-(a/a))))+log(w))+1.0))),[neg mul w add add log neg sub sigma8 div a a log w 1.0],1.0,1.0
0,0.21535236714533737,12.0,12,True,False,-(((((((-(log((Om/(Om/exp(Om))))))**(-1)))**(0.5)))**(0.5))),[neg sqrt sqrt inv neg log div Om div Om exp Om],1.0,1.0
0,0.18184877185230464,16.0,16,True,False,(log((-((((w/Om)-(1.0-1.0))/w))/w))*exp(w)),[mul log div neg div sub div w Om sub 1.0 1.0 w w exp w],1.0,1.0
